states_explored,heap_size,time
1608,789,0.3062930107116699
88,47,0.019250869750976562
148,78,0.020828962326049805
2085,1014,0.42845606803894043
148,74,0.02374410629272461
64047,29171,12.992178201675415
74,40,0.010125160217285156
68411,31168,14.301167011260986
174,94,0.024659156799316406
62715,28518,13.637573003768921
1305,649,0.2796149253845215
3777,1794,0.7293403148651123
2343,1156,0.46894311904907227
234,119,0.042005062103271484
284,139,0.05684399604797363
90,47,0.015279293060302734
4085,1933,0.8812968730926514
28,16,0.004548788070678711
144,73,0.024106979370117188
24,10,0.00471806526184082
6667,3197,1.333165168762207
51,28,0.006888866424560547
34,19,0.004770040512084961
462,236,0.10520195960998535
7134,3429,1.5616772174835205
1606,788,0.33377790451049805
456,228,0.12186789512634277
55,29,0.01585102081298828
66,34,0.012570858001708984
61,31,0.012618780136108398
821,411,0.2100999355316162
717,357,0.17891621589660645
385,190,0.09406018257141113
2692,1331,0.6506807804107666
751,368,0.1495988368988037
42,23,0.005637168884277344
2555,1241,0.47390127182006836
1304,614,0.26288723945617676
521,249,0.08705902099609375
6511,3129,1.3068230152130127
169,89,0.03270125389099121
136,69,0.027512073516845703
99,54,0.016259193420410156
32,18,0.010686159133911133
4761,2253,0.9751543998718262
1378,676,0.2900557518005371
13,9,0.0014541149139404297
205,106,0.04154801368713379
3702,1735,0.7812800407409668
109,61,0.019208192825317383
388,200,0.07080602645874023
65757,30054,15.377551078796387
161,85,0.03108978271484375
22,13,0.002752065658569336
2502,1217,0.4496152400970459
147,74,0.024821043014526367
106,55,0.01479792594909668
4,2,0.0004849433898925781
4281,2039,0.8854467868804932
4299,2056,0.8950650691986084
16,10,0.0019199848175048828
974,485,0.18127727508544922
81,43,0.011325836181640625
1318,620,0.23465418815612793
69,38,0.015169143676757812
69,34,0.014658212661743164
727,367,0.1502699851989746
112,55,0.015725135803222656
4553,2201,0.8759758472442627
83932,38602,17.723220109939575
8567,4095,1.669396162033081
478,237,0.08992409706115723
1114,548,0.21740484237670898
46,23,0.006977081298828125
1981,956,0.4765329360961914
216,109,0.04236578941345215
198,98,0.0406489372253418
186,98,0.047882080078125
594,291,0.12671113014221191
2055,1010,0.4570789337158203
32,18,0.005156040191650391
1818,885,0.33500218391418457
9042,4381,1.806217908859253
938,456,0.17850613594055176
469,232,0.08697080612182617
362,176,0.07338595390319824
130,66,0.031199932098388672
871,436,0.1717829704284668
67213,30738,14.20224380493164
4029,1959,0.7451460361480713
78166,35847,16.687079906463623
1437,709,0.25632500648498535
518,257,0.08499789237976074
