13,74,115,7603,1196,1934,8396,135860,1000000,46661,320590,1000000,1000000,493207,110220,1000000,1000000,1000000,1000000,1000000
11,32,142,1603,5624,9279,110173,78098,161872,37570,54357,799987,354648,1000000,1000000,672923,1000000,1000000,1000000,754083
14,104,168,56,19011,1045,176969,16230,76179,388017,1000000,1000000,17800,912041,1000000,418148,1000000,1000000,1000000,1000000
18,33,187,868,7422,39768,7247,204275,46166,1000000,137442,1000000,91102,391048,600672,1000000,1000000,1000000,1000000,318054
11,35,227,768,9016,1458,3982,60981,2979,897257,27823,165598,1000000,368028,1000000,111213,1000000,476926,1000000,1000000
14,28,132,1635,1207,8042,2534,1000000,1000000,15011,1000000,344375,1000000,799841,660332,860877,1000000,1000000,1000000,1000000
22,77,160,327,1395,10633,549,3171,22511,185106,1000000,950173,108141,1000000,4700,1000000,565870,1000000,1000000,1000000
12,54,70,1376,793,19007,4495,33679,71725,14571,66411,1000000,699831,195114,51863,1000000,1000000,435539,1000000,1000000
13,109,134,1451,4895,605,15735,4811,361093,1000000,616,1000000,1000000,1000000,202394,1000000,698120,1000000,659074,1000000
11,38,249,659,764,7108,21873,794,329681,302295,1000000,1000000,1000000,1000000,118194,1000000,1000000,1000000,1000000,1000000
12,65,86,1678,14580,1504,28796,9918,38286,13891,334647,609129,1000000,51128,84707,1000000,1000000,577378,1000000,1000000
17,30,77,1079,3453,4794,88786,567811,12923,12729,677,163460,1000000,365300,1000000,568465,1000000,1000000,1000000,1000000
11,43,67,976,1669,4438,2920,130722,6116,19037,125627,48568,1000000,1000000,1000000,1000000,1000000,1000000,1000000,93396
12,87,169,1348,593,1746,10420,43405,3615,83741,925199,355554,1000000,36433,390682,899306,1000000,100346,1000000,1000000
10,37,110,527,965,2916,10873,7486,1000000,1000000,161584,940194,1000000,286260,1000000,922802,398391,1000000,1000000,1000000
10,107,69,222,6266,16041,2180,1258,1000000,145737,87067,386297,1000000,1000000,897691,951559,1000000,1000000,203936,1000000
17,76,343,256,149,62621,12832,9166,1000000,623694,56278,417787,1000000,27597,215455,1000000,1000000,1000000,1000000,1000000
10,29,135,344,2840,1324,134161,57899,6380,556747,28814,1000000,764364,759010,1000000,53120,1000000,1000000,1000000,571999
14,93,75,295,4310,10991,5178,25869,13254,101848,41581,884262,1000000,110881,80386,88096,1000000,1000000,1000000,1000000
17,82,780,2350,6377,18020,128621,178508,77655,893,394311,1000000,1000000,1000000,697600,653603,1000000,1000000,5133,1000000
15,31,63,400,4716,35249,47049,522126,215890,2759,1000000,172152,126838,93840,702433,1000000,1000000,1000000,1000000,394411
17,56,203,151,897,10250,631,148472,187636,72411,37434,79747,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
13,37,494,435,9772,5393,28091,17512,655566,1000000,297131,207049,1000000,1000000,660354,73394,1000000,1000000,1000000,1000000
12,38,194,331,391,28666,1891,1000000,261120,102395,1000000,769962,1000000,62538,1000000,960647,1000000,218114,1000000,1000000
18,59,251,306,988,6200,2270,38588,365175,540914,770639,113411,45391,162927,1000000,189574,916662,1000000,1000000,786848
14,88,63,4880,1245,4659,27154,28563,1000000,830073,278686,180935,1000000,1000000,1000000,175059,1000000,1000000,1000000,1000000
13,30,106,353,3460,9574,2006,271385,19987,8548,194559,1000000,1000000,1000000,1000000,933369,1000000,1000000,1000000,1000000
15,109,674,423,261,137271,50627,95450,468315,15813,61267,1000000,316182,1000000,25032,1000000,1000000,700574,1000000,1000000
13,24,233,878,851,20509,7933,50138,94245,318350,61744,521100,1000000,209877,188808,1000000,10993,653593,1000000,1000000
15,67,151,128,645,19656,5548,11845,74152,817854,139247,154295,1000000,1000000,91338,608686,952996,1000000,937306,1000000
12,22,140,75,2571,7376,1836,61020,72106,86828,934618,1000000,1000000,1000000,1000000,1000000,1000000,1000000,223570,1000000
11,66,204,1196,26102,6814,13803,66193,23892,29708,967108,236988,1000000,1000000,1000000,1000000,16671,1000000,1000000,1000000
15,24,181,797,645,16617,23092,4771,26430,60836,1000000,169300,72189,1000000,1000000,1000000,327883,1000000,1000000,1000000
